title,author,genre,tag index,age,lesson
아기 돼지 삼형제,조지프 제이콥스,fable,"3, 14",3.5,"wisdom,diligence"
백설공주,그림형제,fantasy ,"1, 4",6.5,"love, princess"
피터팬,제임스 매튜 배리,fantasy ,"5, 2, 11",6.5,"courage, adventure, friendship"
흥부와 놀부,작자 미상,tradtional fairy tale,"7, 10, 8",4.5,"goodness, kindness, family"
헨젤과 그레텔,그림형제,fantasy ,"3, 5",4.5,"wisdom, courage"
신데렐라,샤를 페로,fantasy ,"1, 4",8.5,"love, princess"
잠자는 숲속의 공주,샤를 페로,fantasy ,"1, 4",6.5,"love, princess"
토끼와 거북이,이솝 우화,fable,"3, 14",3.5,"wisdom, diligence"
빨간 모자,샤를 페로,fantasy ,3,4.5,wisdom
장화 신은 고양이,샤를 페로,fantasy ,"5, 2, 3",5.5,"courage, adventure, wisdom"
라푼젤,그림형제,fantasy ,"1, 4, 3",6.5,"love, princess, wisdom"
미녀와 야수,쟌 마리 르 프랭스 드 보몽,fantasy ,"1, 4, 3, 5",6.5,"love, princess, wisdom, courage"
인어공주,한스 크리스티안 안데르센,fantasy,"1, 4",8.5,"love, princess"
미운 오리 새끼,한스 크리스티안 안데르센,fable,"5, 1, 9",5.5,"courage, love, happiness"
피노키오,카를로 콜로디,fantasy,"3, 1",4.5,"wisdom, love"
알라딘과 요술 램프 ,작자 미상,fantasy,"2, 5, 3",8.5,"adventure, courage, wisdom"
알리바바와 40인의 도둑,작자 미상,fantasy,"2, 5, 15",8.5,"adventure, courage, mystery"
톰 소여의 모험,작자 미상,novel,"2, 5, 3",8.5,"adventure, courage, wisdom"
해와 달이 된 오누이,작자 미상,tradtional fairy tale,"5, 8, 1, 3",6.5,"courage, family, love, wisdom"
콩쥐팥쥐,작자 미상,tradtional fairy tale,"5, 10",8.5,"wisdom, kindness"
견우와 직녀,작자 미상,tradtional fairy tale,"1, 9",5.5,"love, happiness"
심정천 ,작자 미상,tradtional fairy tale,"1, 8, 6, 17",8.5,"love, family, filial_piety, devotion"
별주부전,작자 미상,tradtional fairy tale,"3, 5",8.5,"wisdom, courage"
금도끼와 은도끼,작자 미상,tradtional fairy tale,"10, 14",4.5,"kindness, diligence"
선녀와 나무꾼 ,작자 미상,tradtional fairy tale,"1, 8",5.5,"love, family"
장화홍련전,작자 미상,tradtional fairy tale,"8, 1, 5, 10",8.5,"family, love, courage, kindness"
호랑이와 곶감,작자 미상,tradtional fairy tale,"3, 5",5.5,"wisdom, courage"
청개구리,작자 미상,tradtional fairy tale,"6, 8",5.5,"filial_piety, family"
바리데기,작자 미상,tradtional fairy tale,6,4.5,filial_piety
선비와 구렁이,작자 미상,tradtional fairy tale,"7, 10",4.5,"goodness, kindness"
호랑이와 팥죽 할머니,작자 미상,tradtional fairy tale,"7, 10",3.5,"goodness, kindness"
황금알을 낳는 거위,이솝 우화,fable,"3, 10",4.5,"wisdom, kindness"
엄지공주,한스 크리스티안 안데르센,fantasy,"4, 5, 10",3.5,"princess, courage, kindness"
브레멘 음악대,그림형제,fantasy,"5, 2, 11",3.5,"courage, adventure, friendship"
피리 부는 사나이,그림형제,fantasy,"10, 15",4.5,"kindness, mystery"
콧구멍을 후비면,사이토 타카코,picture book,"12, 3",4.5,"cleanliness, wisdom"
소공자,프랜시스 호지슨 버넷,novel,"8, 10",8.5,"family, kindness"
이상한 나라의 앨리스,루이스 캐럴,fantasy,"5, 2, 3",8.5,"courage, adventure, wisdom"
잭과 콩나무,에드 브라이언,fantasy,"5, 2, 3",8.5,"courage, adventure, wisdom"
파랑새,모리스 메테르링크,fantasy,"9, 8",8.5,"happiness, family"
강아지 똥,권정생,picture book,"5, 1",4.5,"courage, love"
구름빵,백희나,picture book,"8, 9",4.5,"family, happiness"
누가 내머리에 똥 쌌어,베르너 홀츠바르트,picture book,"3, 2",3.5,"wisdom, adventure"
마당을 나온 암탉,황선미,novel,"1, 2, 5",8.5,"love, adventure, courage"
모모,미하엘 엔데,novel,"3, 9",8.5,"wisdom, happiness"
찰리와 초콜릿 공장,로알드 달,fantasy,"5, 2, 8",8.5,"courage, adventure, family"
생각을 모으는 사람,모니카 페트,novel,"3, 9",4.5,"wisdom, happiness"
수박 수영장,안녕달,picture book,"8, 9",4.5,"family, happiness"
감정 호텔,리디아 브란코비치,picture book,"9, 5, 13",3.5,"happiness, courage, condolence"
알사탕,백희나,picture book,"1, 8",4.5,"love, family"
장수탕 선녀님,백희나,picture book,"10, 7",4.5,"kindness, goodness"
오싹오싹 팬티,애런 레이놀즈,picture book,"5, 3",4.5,"courage, wisdom"
엄마의 여름 방학,김유진,picture book,"8, 9",4.5,"family, happiness"
무지개 물고기,마르쿠스 피스터,picture book,"11, 10",4.5,"friendship, kindness"
수상한 신호등,더 캐빈 컴퍼니,picture book,3,4.5,wisdom
세종대왕,-,biography,"14, 3",7.5,"diligence, wisdom"
이순신,-,biography,"5, 3, 17",7.5,"courage, wisdom, devotion"
김구,-,biography,"5, 10, 17",8.5,"courage, kindness, devotion"
유관순,-,biography,"5, 3, 17",8.5,"courage, wisdom, devotion"
장영실,-,biography,"3, 14",7.5,"wisdom, diligence"
정약용,-,biography,"3, 14",7.5,"wisdom, diligence"
안중근,-,biography,"5, 10, 17",8.5,"courage, kindness, devotion"
홍길동,허균,novel,"3, 10",7.5,"wisdom, kindness"
신사임당,-,biography,"3, 14",7.5,"wisdom, diligence"
아인슈타인,-,biography,"3, 14, 16",8.5,"wisdom, diligence, creativity"
마리 퀴리,-,biography,"3, 5, 16",8.5,"wisdom, courage, creativity"
